config ok
listening on 9999
port open. Data rate: 9600
2023-09-21T07:11:49.102Z <Buffer 2d>
2023-09-21T07:11:49.103Z <Buffer 2d>
2023-09-21T07:11:49.104Z <Buffer 2d>
2023-09-21T07:11:49.105Z <Buffer 2d>
2023-09-21T07:11:49.106Z <Buffer 2b>
2023-09-21T07:11:49.108Z <Buffer 1b>
2023-09-21T07:11:49.109Z <Buffer 5b>
2023-09-21T07:11:49.110Z <Buffer 35>
2023-09-21T07:11:49.111Z <Buffer 3b>
2023-09-21T07:11:49.112Z <Buffer 32>
2023-09-21T07:11:49.113Z <Buffer 48>
2023-09-21T07:11:49.114Z <Buffer 7c>
2023-09-21T07:11:49.115Z <Buffer 1b>
2023-09-21T07:11:49.116Z <Buffer 5b>
2023-09-21T07:11:49.117Z <Buffer 35>
2023-09-21T07:11:49.118Z <Buffer 3b>
2023-09-21T07:11:49.119Z <Buffer 37>
2023-09-21T07:11:49.120Z <Buffer 39>
2023-09-21T07:11:49.121Z <Buffer 48>
2023-09-21T07:11:49.122Z <Buffer 7c>
2023-09-21T07:11:49.123Z <Buffer 1b>
2023-09-21T07:11:49.124Z <Buffer 5b>
2023-09-21T07:11:49.125Z <Buffer 36>
2023-09-21T07:11:49.126Z <Buffer 3b>
2023-09-21T07:11:49.128Z <Buffer 32>
2023-09-21T07:11:49.129Z <Buffer 48>
2023-09-21T07:11:49.130Z <Buffer 7c>
2023-09-21T07:11:49.130Z <Buffer 1b>
2023-09-21T07:11:49.131Z <Buffer 5b>
2023-09-21T07:11:49.132Z <Buffer 36>
2023-09-21T07:11:49.134Z <Buffer 3b>
2023-09-21T07:11:49.135Z <Buffer 37>
2023-09-21T07:11:49.136Z <Buffer 39>
2023-09-21T07:11:49.137Z <Buffer 48>
2023-09-21T07:11:49.138Z <Buffer 7c>
2023-09-21T07:11:49.139Z <Buffer 1b>
2023-09-21T07:11:49.140Z <Buffer 5b>
2023-09-21T07:11:49.141Z <Buffer 37>
2023-09-21T07:11:49.142Z <Buffer 3b>
2023-09-21T07:11:49.143Z <Buffer 32>
2023-09-21T07:11:49.144Z <Buffer 48>
2023-09-21T07:11:49.145Z <Buffer 7c>
2023-09-21T07:11:49.146Z <Buffer 1b>
2023-09-21T07:11:49.147Z <Buffer 5b>
2023-09-21T07:11:49.148Z <Buffer 37>
2023-09-21T07:11:49.149Z <Buffer 3b>
2023-09-21T07:11:49.150Z <Buffer 37>
2023-09-21T07:11:49.151Z <Buffer 39>
2023-09-21T07:11:49.152Z <Buffer 48>
2023-09-21T07:11:49.153Z <Buffer 7c>
2023-09-21T07:11:49.154Z <Buffer 1b>
2023-09-21T07:11:49.155Z <Buffer 5b>
2023-09-21T07:11:49.156Z <Buffer 38>
2023-09-21T07:11:49.157Z <Buffer 3b>
2023-09-21T07:11:49.158Z <Buffer 32>
2023-09-21T07:11:49.160Z <Buffer 48>
2023-09-21T07:11:49.161Z <Buffer 7c>
2023-09-21T07:11:49.162Z <Buffer 1b>
2023-09-21T07:11:49.163Z <Buffer 5b>
2023-09-21T07:11:49.164Z <Buffer 38>
2023-09-21T07:11:49.165Z <Buffer 3b>
2023-09-21T07:11:49.166Z <Buffer 37>
2023-09-21T07:11:49.167Z <Buffer 39>
2023-09-21T07:11:49.168Z <Buffer 48>
2023-09-21T07:11:49.169Z <Buffer 7c>
2023-09-21T07:11:49.170Z <Buffer 1b>
2023-09-21T07:11:49.171Z <Buffer 5b>
2023-09-21T07:11:49.172Z <Buffer 39>
2023-09-21T07:11:49.173Z <Buffer 3b>
2023-09-21T07:11:49.174Z <Buffer 32>
2023-09-21T07:11:49.175Z <Buffer 48>
2023-09-21T07:11:49.176Z <Buffer 7c>
2023-09-21T07:11:49.177Z <Buffer 1b>
2023-09-21T07:11:49.178Z <Buffer 5b>
2023-09-21T07:11:49.179Z <Buffer 39>
2023-09-21T07:11:49.180Z <Buffer 3b>
2023-09-21T07:11:49.181Z <Buffer 37>
2023-09-21T07:11:49.182Z <Buffer 39>
2023-09-21T07:11:49.183Z <Buffer 48>
2023-09-21T07:11:49.184Z <Buffer 7c>
2023-09-21T07:11:49.185Z <Buffer 1b>
2023-09-21T07:11:49.187Z <Buffer 5b>
2023-09-21T07:11:49.188Z <Buffer 31>
2023-09-21T07:11:49.189Z <Buffer 30>
2023-09-21T07:11:49.190Z <Buffer 3b>
2023-09-21T07:11:49.191Z <Buffer 32>
2023-09-21T07:11:49.192Z <Buffer 48>
2023-09-21T07:11:49.193Z <Buffer 7c>
2023-09-21T07:11:49.194Z <Buffer 1b>
